round,iso.alpha.3,snu
2020,AFG,
2020,AUS,
2020,BGD,
2020,BTN,
2020,BRN,
2020,KHM,
2020,CHN,
2020,PRK,
2020,FJI,
2020,IND,
2020,IDN,
2020,JPN,
2020,LAO,
2020,MYS,
2020,MDV,
2020,MNG,
2020,MMR,
2020,NPL,
2020,NZL,
2020,PAK,
2020,PHL,
2020,PNG,
2020,KOR,
2020,SGP,
2020,LKA,
2020,THA,
2020,TLS,
2020,VNM,
2020,BHS,
2020,BRB,
2020,BLZ,
2020,CUB,
2020,DOM,
2020,GUY,
2020,HTI,
2020,JAM,
2020,SUR,
2020,TTO,
2020,ALB,
2020,ARM,
2020,AZE,
2020,BLR,
2020,BIH,
2020,GEO,
2020,KAZ,
2020,KGZ,
2020,MDA,Left bank
2020,MDA,Right bank
2020,MNE,
2020,MKD,
2020,RUS,
2020,TJK,
2020,TKM,
2020,UKR,
2020,UZB,
2020,ARG,
2020,BOL,
2020,BRA,
2020,CHL,
2020,COL,
2020,CRI,
2020,ECU,
2020,SLV,
2020,GTM,
2020,HND,
2020,MEX,
2020,NIC,
2020,PAN,
2020,PRY,
2020,PER,
2020,URY,
2020,VEN,
2020,IRN,
2020,DZA,
2020,BHR,
2020,DJI,
2020,EGY,
2020,JOR,
2020,KWT,
2020,LBN,
2020,LBY,
2020,MAR,
2020,OMN,
2020,QAT,
2020,SAU,
2020,SOM,
2020,SDN,
2020,SYR,
2020,TUN,
2020,ARE,
2020,YEM,
2020,AUT,
2020,BEL,
2020,BGR,
2020,CAN,
2020,HRV,
2020,CYP,
2020,CZE,
2020,DNK,
2020,EST,
2020,FIN,
2020,FRA,
2020,DEU,
2020,GRC,
2020,HUN,
2020,ISL,
2020,IRL,
2020,ISR,
2020,ITA,
2020,LVA,
2020,LTU,
2020,LUX,
2020,MLT,
2020,NLD,
2020,NOR,
2020,POL,
2020,PRT,
2020,ROU,
2020,SRB,
2020,SVK,
2020,SVN,
2020,ESP,
2020,SWE,
2020,CHE,
2020,TUR,
2020,GBR,
2020,USA,
2020,NGA,Abia
2020,NGA,Adamawa
2020,NGA,Akwa-Ibom
2020,NGA,Anambra
2020,NGA,Bauchi
2020,NGA,Bayelsa
2020,NGA,Benue
2020,NGA,Borno
2020,NGA,CrossRiver
2020,NGA,Delta
2020,NGA,Ebonyi
2020,NGA,Edo
2020,NGA,Ekiti
2020,NGA,Enugu
2020,NGA,FCT
2020,NGA,Gombe
2020,NGA,Imo
2020,NGA,Jigawa
2020,NGA,Kaduna
2020,NGA,Kano
2020,NGA,Katsina
2020,NGA,Kebbi
2020,NGA,Kogi
2020,NGA,Kwara
2020,NGA,Lagos
2020,NGA,Nasarawa
2020,NGA,Niger
2020,NGA,Ogun
2020,NGA,Ondo
2020,NGA,Osun
2020,NGA,Oyo
2020,NGA,Plateau
2020,NGA,Rivers
2020,NGA,Sokoto
2020,NGA,Taraba
2020,NGA,Yobe
2020,NGA,Zamfara
2020,MOZ,NORTH_Niassa
2020,MOZ,NORTH_Cabo Delgado
2020,MOZ,NORTH_Nampula
2020,MOZ,CENTER_Zambezi
2020,MOZ,CENTER_Tete
2020,MOZ,CENTER_Manica
2020,MOZ,CENTER_Sofala
2020,MOZ,SOUTH_Inhambane
2020,MOZ,SOUTH_Gaza
2020,MOZ,SOUTH_Maputo Provincia
2020,MOZ,SOUTH_Maputo Cidade
2020,AGO,
2020,BEN,Alibori
2020,BEN,Atacora
2020,BEN,Atlantique
2020,BEN,Borgou
2020,BEN,Collines
2020,BEN,Couffo
2020,BEN,Donga
2020,BEN,Littoral
2020,BEN,Mono
2020,BEN,Oueme
2020,BEN,Plateau
2020,BEN,Zou
2020,BWA,
2020,BFA,
2020,BDI,
2020,CPV,
2020,CMR,
2020,CAF,
2020,TCD,
2020,COM,
2020,COG,
2020,CIV,
2020,COD,
2020,GNQ,
2020,ERI,
2020,SWZ,
2020,ETH,Addis Abeba
2020,ETH,Affar
2020,ETH,Amhara
2020,ETH,Benis Gumz
2020,ETH,Dire Dawa
2020,ETH,Gambela
2020,ETH,Harari
2020,ETH,Oromiya
2020,ETH,SNNP
2020,ETH,Somali
2020,ETH,Tigray
2020,GAB,
2020,GMB,
2020,GHA,
2020,GNB,
2020,GIN,
2020,KEN,Central
2020,KEN,Coast
2020,KEN,Eastern
2020,KEN,Nairobi
2020,KEN,North Eastern
2020,KEN,Nyanza
2020,KEN,Rift Valley
2020,KEN,Western
2020,LSO,
2020,LBR,
2020,MDG,
2020,MWI,
2020,MLI,
2020,MRT,
2020,MUS,
2020,NAM,
2020,NER,
2020,RWA,
2020,SEN,
2020,SLE,
2020,ZAF,
2020,SSD,
2020,TZA,
2020,TGO,
2020,UGA,
2020,ZMB,Central
2020,ZMB,Copperbelt
2020,ZMB,Eastern
2020,ZMB,Luapula
2020,ZMB,Lusaka
2020,ZMB,Muchinga
2020,ZMB,Northern
2020,ZMB,North Western
2020,ZMB,Southern
2020,ZMB,Western
2020,ZWE,Bulawayo
2020,ZWE,Harare Chitungwiza
2020,ZWE,Manicaland
2020,ZWE,Mashonaland Central
2020,ZWE,Mashonaland East
2020,ZWE,Mashonaland West
2020,ZWE,Masvingo
2020,ZWE,Matabeleland North
2020,ZWE,Matabeleland South
2020,ZWE,Midlands
2021,AFG,
2021,AUS,
2021,BGD,
2021,BTN,
2021,BRN,
2021,KHM,
2021,CHN,
2021,PRK,
2021,FJI,
2021,IND,
2021,IDN,
2021,JPN,
2021,LAO,
2021,MYS,
2021,MDV,
2021,MNG,
2021,MMR,
2021,NPL,
2021,NZL,
2021,PAK,
2021,PHL,
2021,PNG,
2021,KOR,
2021,SGP,
2021,LKA,
2021,THA,
2021,TLS,
2021,VNM,
2021,BHS,
2021,BRB,
2021,BLZ,
2021,CUB,
2021,DOM,
2021,GUY,
2021,HTI,
2021,JAM,
2021,SUR,
2021,TTO,
2021,ALB,
2021,ARM,
2021,AZE,
2021,BLR,
2021,BIH,
2021,GEO,
2021,KAZ,
2021,KGZ,
2021,MDA,Left bank
2021,MDA,Right bank
2021,MNE,
2021,MKD,
2021,RUS,
2021,TJK,
2021,TKM,
2021,UKR,
