Commit,Date,Time,Round,Config,Level,Version,Beta
1f185032d4b6296db5d0ac2cf1ddd7621407d2c1,"""2020-12-17""",5:08:51,2020,3,Release,5.93,
84c36ad21af5c533d2adaf6775b03ddb53ea7748,"""2020-12-18""",17:07:15,2020,3,Beta,6.01,1
a3d83560a7a49e44ec78cdc539f5be045e962a0e,"""2021-01-05""",15:50:41,2020,3,Beta,6.01,2
b0c09e85bc77c91f670397e74d1841d2122bd4c2,"""2021-01-05""",16:12:28,2020,3,Release,6.01,
a31077dcbb584c64d7de344ac2771434fcd3f929,"""2021-01-29""",10:11:01,2020,3,Release,6.04,
c376d50398e4e91905b42334e701470d336025ac,"""2021-02-02""",8:07:38,2020,3,Commit,6.04,
5535a9dd909a9c54f49ac615773ae7e4308fb61a,"""2021-02-02""",15:18:59,2020,3,Release,6.05,
d05d02edf78b2418543572f1265dcb885142438e,"""2021-02-03""",10:40:11,2020,3,Beta,6.06,1
da7b3b0b4c0aa98808c7961f697d7cdfffe6736d,"""2021-02-03""",17:05:07,2020,3,Release,6.06,
1fbba70940f109585ebe61d09c9cfbdeba87d6b8,"""2021-02-08""",15:27:33,2020,3,Commit,6.06,
375e184e92efa9935e3e2d5ee7edb967af138043,"""2021-02-10""",13:33:49,2020,3,Commit,6.06,
187ce30d12934234d63858c96767d263aca9a8a7,"""2021-02-17""",12:28:42,2020,3,Commit,6.07,1
38113514d2cb48ff0413516f533f5d8dda36430e,"""2021-02-22""",15:59:21,2020,3,Beta,6.07,2
52696433c815e6111dd80ab87bf9531fb9ea1770,"""2021-02-26""",11:17:54,2020,3,Commit,6.07,2
38488dd2d257b15400089eac8699db72fbb6d113,"""2021-02-27""",11:10:28,2020,3,Beta,6.07,3
c973ca68e4f64078f9713a85f4acf0620f394963,"""2021-03-04""",19:14:06,2020,3,Beta,6.07,4
4309d5d6da7255a86cf4ba7d79df5dcb9c0d4a71,"""2021-03-05""",18:54:39,2020,3,Beta,6.07,5
18962d56d86aad9ec0e4b3c982d19d716cebaaf8,"""2021-03-15""",21:00:55,2020,3,Beta,6.07,7
04bbb47bfa4f246d52f21a6ce998cf3541579473,"""2021-03-24""",17:20:45,2020,3,Beta,6.07,8
75d494123a002446233b5f080c8c18c672410f76,"""2021-04-14""",14:33:07,2020,3,Commit,6.07,13
289458685b17228d4054b5316bcb7113ed5d6c09,"""2021-04-19""",22:54:36,2020,3,Release,6.07,
44de90a2770f3b05bf0fc25dee5181c72cbca540,"""2021-04-22""",15:59:29,2020,3,Beta,6.08,1
a6d0e04df1520d3391a6b1c63f08db4e18001c94,"""2021-04-23""",17:04:19,2020,3,Commit,6.08,1
6dc41dfd1d81e03a89ae8bf9ade28d05300b4755,"""2021-04-29""",18:25:35,2020,3,Beta,6.08,5
25f1a3bf2f6f71dc93d060da6de47f7f19fafb31,"""2021-05-11""",15:20:50,2020,3,Beta,6.08,9
758c1f186d5e7aa50f77b11a2d35b43a61dd6e26,"""2021-05-12""",17:35:01,2020,3,Release,6.08,
2364635d1b739e284d10204a0b2b6621a7352d0d,"""2021-05-13""",9:44:50,2020,3,Commit,6.08,
3bd2723025a837ac7d21db8090c12355c70f7d17,"""2021-05-29""",1:40:31,2020,3,Beta,6.09,2
da7b3b0b4c0aa98808c7961f697d7cdfffe6736d,"""2021-02-03""",17:05:07,2021,4,Release,6.06,
289458685b17228d4054b5316bcb7113ed5d6c09,"""2021-04-19""",22:54:36,2021,4,Release,6.07,
758c1f186d5e7aa50f77b11a2d35b43a61dd6e26,"""2021-05-12""",17:35:01,2021,4,Release,6.08,
61e96f5db1c0f8558f518cd8566960a2cd911799,"""2021-05-27""",16:54:00,2021,4,Beta,6.09,1
baaa96b48632cf62aa5a793431d479ee38cc1ad3,"""2021-06-24""",9:43:08,2021,4,Beta,6.09,7
c58fccc54295930ece2dc82b264f9f6498764828,"""2021-06-29""",8:06:11,2021,4,Beta,6.09,8
d4c017f55e4ae74450e3bda811ceeec99f3fb5ab,"""2021-07-21""",10:16:12,2021,4,Beta,6.09,9
516f6fe5c45e5bc5332af3e7a4f05187726d8b74,"""2021-07-28""",16:05:37,2021,4,Beta,6.09,10
c627283dd41c40e0db58b0d9eeb6eda2b7a0207f,"""2021-07-29""",18:36:32,2021,4,Beta,6.09,11
6f4ae8b128dd084da124b5699c941acba95ff744,"""2021-08-12""",8:21:00,2021,4,Commit,6.09,12
